id,marca,modelo,descripcion,voltaje,capacidad_Ah,CCA_A,RC_min,largo_mm,ancho_mm,alto_mm,origen,norma,licencia_inti,fecha_emision,fecha_vencimiento,titular,cuit_titular,domicilio_titular,extiende,cuit_extiende,certificado_pdf_url,url_ficha_publica
14,VARTA,VA90LE,Bateria de plomo-acido para arranque,12,90,710,165,320,172,226,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA90LE
15,VARTA,VPA100LE,Bateria de plomo-acido para arranque,12,100,720,180,330,173,241,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VPA100LE
16,VARTA,VA40FD,Bateria de plomo-acido para arranque,12,40,300,47,175,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA40FD
17,VARTA,VA50GD,Bateria de plomo-acido para arranque,12,50,410,59,207,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA50GD
18,VARTA,VA60HE,Bateria de plomo-acido para arranque,12,60,480,70,242,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA60HE
19,VARTA,VA60HD,Bateria de plomo-acido para arranque,12,60,480,70,242,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA60HD
20,VARTA PLUS,VGM60HE,Bateria de plomo-acido para arranque,12,60,600,70,242,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VGM60HE
21,VARTA PLUS,VGM60HD,Bateria de plomo-acido para arranque,12,60,600,70,242,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VGM60HD
22,VARTA,VFB60HD,Bateria de plomo-acido para arranque,12,60,560,73,242,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VFB60HD
23,VARTA,VFB72PD,Bateria de plomo-acido para arranque,12,72,700,101,278,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VFB72PD
24,VARTA,VDA75PD,Bateria de plomo-acido para arranque,12,75,675,101,278,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA75PD
25,VARTA,VAF90MD,Bateria de plomo-acido para arranque,12,90,800,170,353,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VAF90MD
26,VARTA PLUS,VDA95MD,Bateria de plomo-acido para arranque,12,95,800,170,353,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA95MD
27,VARTA,VA45JD,Bateria de plomo-acido para arranque,12,45,340,47,237,129,225,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA45JD
28,VARTA,VA45JE,Bateria de plomo-acido para arranque,12,45,340,47,237,129,225,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA45JE
29,VARTA,VA45BD,Bateria de plomo-acido para arranque,12,45,330,51,207,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA45BD
30,VARTA,VA45BE,Bateria de plomo-acido para arranque,12,45,330,51,207,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA45BE
31,VARTA PLUS,VDA60DE,Bateria de plomo-acido para arranque,12,60,480,70,242,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA60DE
32,VARTA PLUS,VDA60DD,Bateria de plomo-acido para arranque,12,60,480,70,242,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA60DD
33,VARTA,VA60DD,Bateria de plomo-acido para arranque,12,60,440,70,242,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA60DD
34,VARTA,VA60DE,Bateria de plomo-acido para arranque,12,60,440,70,242,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA60DE
35,VARTA PLUS,VDA70ND,Bateria de plomo-acido para arranque,12,70,660,90,278,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA70ND
36,VARTA PLUS,VDA70NE,Bateria de plomo-acido para arranque,12,70,660,90,278,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VDA70NE
37,VARTA,VA70ND,Bateria de plomo-acido para arranque,12,70,620,90,278,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA70ND
38,VARTA,VA70NE,Bateria de plomo-acido para arranque,12,70,620,90,278,175,175,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VA70NE
39,VARTA,VPA180TE,Bateria de plomo-acido para arranque,12,180,950,300,511,213,236,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VPA180TE
40,VARTA,VFB50GD,Bateria de plomo-acido para arranque,12,50,540,75,207,175,190,Republica Federativa de Brasil,IRAM-AITA 13-A1:2014,301-08472,10/11/2025,27/07/2028,SARICO DISTRI S.A.,30-70936877-6,Eliseo Cantón 1860; Villa Páez; Córdoba,CLARIOS ARGENTINA S.R.L.,30-70096398-1,IF-2025-125615339-APN-DO%INTI.pdf,https://www.saricodistri.com.ar/certificaciones/baterias?id=VFB50GD
